Id,Name,Canonical,Region,Country,Country Code
"1000148","Albury","Albury,New South Wales,Australia","New South Wales","Australia",au"
"1000149","Armidale","Armidale,New South Wales,Australia","New South Wales","Australia",au"
"1000152","Ballina","Ballina,New South Wales,Australia","New South Wales","Australia",au"
"1000156","Batemans Bay","Batemans Bay,New South Wales,Australia","New South Wales","Australia",au"
"1000157","Bathurst","Bathurst,New South Wales,Australia","New South Wales","Australia",au"
"1000170","Broken Hill","Broken Hill,New South Wales,Australia","New South Wales","Australia",au"
"1000173","Cessnock","Cessnock,New South Wales,Australia","New South Wales","Australia",au"
"1000184","Coffs Harbour","Coffs Harbour,New South Wales,Australia","New South Wales","Australia",au"
"1000200","Dubbo","Dubbo,New South Wales,Australia","New South Wales","Australia",au"
"1000211","Goulburn","Goulburn,New South Wales,Australia","New South Wales","Australia",au"
"1000212","Grafton","Grafton,New South Wales,Australia","New South Wales","Australia",au"
"1000213","Griffith","Griffith,New South Wales,Australia","New South Wales","Australia",au"
"1000225","Kiama","Kiama,New South Wales,Australia","New South Wales","Australia",au"
"1000226","Victoria Point","Victoria Point,Queensland,Australia","Queensland","Australia",au"
"1000227","Katoomba","Katoomba,New South Wales,Australia","New South Wales","Australia",au"
"1000233","Lismore","Lismore,New South Wales,Australia","New South Wales","Australia",au"
"1000234","Lithgow","Lithgow,New South Wales,Australia","New South Wales","Australia",au"
"1000236","Maitland","Maitland,New South Wales,Australia","New South Wales","Australia",au"
"1000246","Craigieburn","Craigieburn,Victoria,Australia","Victoria","Australia",au"
"1000250","Muswellbrook","Muswellbrook,New South Wales,Australia","New South Wales","Australia",au"
"1000255","Newcastle","Newcastle,New South Wales,Australia","New South Wales","Australia",au"
"1000259","Nowra","Nowra,New South Wales,Australia","New South Wales","Australia",au"
"1000262","Orange","Orange,New South Wales,Australia","New South Wales","Australia",au"
"1000264","Parkes","Parkes,New South Wales,Australia","New South Wales","Australia",au"
"1000269","Port Macquarie","Port Macquarie,New South Wales,Australia","New South Wales","Australia",au"
"1000274","Raymond Terrace","Raymond Terrace,New South Wales,Australia","New South Wales","Australia",au"
"1000278","Richmond","Richmond,New South Wales,Australia","New South Wales","Australia",au"
"1000281","Sawtell","Sawtell,New South Wales,Australia","New South Wales","Australia",au"
"1000284","Singleton","Singleton,New South Wales,Australia","New South Wales","Australia",au"
"1000286","Sydney","Sydney,New South Wales,Australia","New South Wales","Australia",au"
"1000287","Tamworth","Tamworth,New South Wales,Australia","New South Wales","Australia",au"
"1000288","Taree","Taree,New South Wales,Australia","New South Wales","Australia",au"
"1000304","Wagga Wagga","Wagga Wagga,New South Wales,Australia","New South Wales","Australia",au"
"1000314","Wollongong","Wollongong,New South Wales,Australia","New South Wales","Australia",au"
"1000320","Alice Springs","Alice Springs,Northern Territory,Australia","Northern Territory","Australia",au"
"1000322","Darwin","Darwin,Northern Territory,Australia","Northern Territory","Australia",au"
"1000336","Bongaree","Bongaree,Queensland,Australia","Queensland","Australia",au"
"1000339","Brisbane","Brisbane,Queensland,Australia","Queensland","Australia",au"
"1000341","Buderim","Buderim,Queensland,Australia","Queensland","Australia",au"
"1000342","Bundaberg","Bundaberg,Queensland,Australia","Queensland","Australia",au"
"1000346","Caboolture","Caboolture,Queensland,Australia","Queensland","Australia",au"
"1000347","Cairns","Cairns,Queensland,Australia","Queensland","Australia",au"
"1000348","Caloundra","Caloundra,Queensland,Australia","Queensland","Australia",au"
"1000358","Dalby","Dalby,Queensland,Australia","Queensland","Australia",au"
"1000364","Gladstone","Gladstone,Queensland,Australia","Queensland","Australia",au"
