Id,Name,Canonical,Region,Country,Country Code
"20227","Brandenburg","Brandenburg,Germany","","Germany","de"
"20228","Baden-Wurttemberg","Baden-Wurttemberg,Germany","","Germany","de"
"20229","Bavaria","Bavaria,Germany","","Germany","de"
"20230","Bremen","Bremen,Germany","","Germany","de"
"20231","Hessen","Hessen,Germany","","Germany","de"
"20232","Hamburg","Hamburg,Germany","","Germany","de"
"20233","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern,Germany","","Germany","de"
"20234","Lower Saxony","Lower Saxony,Germany","","Germany","de"
"20235","North Rhine-Westphalia","North Rhine-Westphalia,Germany","","Germany","de"
"20236","Rhineland-Palatinate","Rhineland-Palatinate,Germany","","Germany","de"
"20237","Schleswig-Holstein","Schleswig-Holstein,Germany","","Germany","de"
"20238","Saarland","Saarland,Germany","","Germany","de"
"20239","Saxony","Saxony,Germany","","Germany","de"
"20240","Saxony-Anhalt","Saxony-Anhalt,Germany","","Germany","de"
"20241","Thuringia","Thuringia,Germany","","Germany","de"
"20453","Andhra Pradesh","Andhra Pradesh,India","","India","in"
"20454","Assam","Assam,India","","India","in"
"20455","Bihar","Bihar,India","","India","in"
"20457","Gujarat","Gujarat,India","","India","in"
"20458","Haryana","Haryana,India","","India","in"
"20459","Jammu and Kashmir","Jammu and Kashmir,India","","India","in"
"20460","Karnataka","Karnataka,India","","India","in"
"20461","Kerala","Kerala,India","","India","in"
"20462","Maharashtra","Maharashtra,India","","India","in"
"20463","Meghalaya","Meghalaya,India","","India","in"
"20464","Madhya Pradesh","Madhya Pradesh,India","","India","in"
"20465","Odisha","Odisha,India","","India","in"
"20466","Punjab","Punjab,India","","India","in"
"20468","Rajasthan","Rajasthan,India","","India","in"
"20469","Tamil Nadu","Tamil Nadu,India","","India","in"
"20470","Tripura","Tripura,India","","India","in"
"20471","Uttar Pradesh","Uttar Pradesh,India","","India","in"
"20472","West Bengal","West Bengal,India","","India","in"
"20694","Aguascalientes","Aguascalientes,Mexico","","Mexico","mx"
