Id,Name,Canonical,Region,Country,Country Code
"21129","Chernihiv Oblast","Chernihiv Oblast,Ukraine","","Ukraine","ua"
"21130","Chernivtsi Oblast","Chernivtsi Oblast,Ukraine","","Ukraine","ua"
"21234","Mari El Republic","Mari El Republic,Russia","","Russia","ru"
"21243","Republic of Kalmykia","Republic of Kalmykia,Russia","","Russia","ru"
"21250","Adygea Republic","Adygea Republic,Russia","","Russia","ru"
"21251","Ingushetia","Ingushetia,Russia","","Russia","ru"
"21252","North Ossetia–Alania Republic","North Ossetia–Alania Republic,Russia","","Russia","ru"
"21255","Beja District","Beja District,Portugal","","Portugal","pt"
"21256","Oryol Oblast","Oryol Oblast,Russia","","Russia","ru"
"21277","Jewish Autonomous Oblast","Jewish Autonomous Oblast,Russia","","Russia","ru"
"21290","Magdalena","Magdalena,Colombia","","Colombia","co"
"21292","Ternopil Oblast","Ternopil Oblast,Ukraine","","Ukraine","ua"
"21302","Canterbury","Canterbury,New Zealand","","New Zealand","nz"
"21303","Gisborne","Gisborne,New Zealand","","New Zealand","nz"
"21304","Hawke's Bay","Hawke's Bay,New Zealand","","New Zealand","nz"
"21305","Manawatu-Whanganui","Manawatu-Whanganui,New Zealand","","New Zealand","nz"
"21306","Marlborough","Marlborough,New Zealand","","New Zealand","nz"
"21307","Nelson","Nelson,New Zealand","","New Zealand","nz"
"21308","Northland","Northland,New Zealand","","New Zealand","nz"
"21309","Otago","Otago,New Zealand","","New Zealand","nz"
"21310","Southland","Southland,New Zealand","","New Zealand","nz"
"21311","Taranaki","Taranaki,New Zealand","","New Zealand","nz"
"21312","Tasman","Tasman,New Zealand","","New Zealand","nz"
"21313","Waikato","Waikato,New Zealand","","New Zealand","nz"
"21314","Wellington","Wellington,New Zealand","","New Zealand","nz"
"21315","West Coast","West Coast,New Zealand","","New Zealand","nz"
"21318","Seoul","Seoul,South Korea","","South Korea","kr"
"21319","Busan","Busan,South Korea","","South Korea","kr"
"21320","Daegu","Daegu,South Korea","","South Korea","kr"
"21321","Incheon","Incheon,South Korea","","South Korea","kr"
"21322","Gwangju","Gwangju,South Korea","","South Korea","kr"
"21323","Daejeon","Daejeon,South Korea","","South Korea","kr"
"21324","Ulsan","Ulsan,South Korea","","South Korea","kr"
"21325","Gyeonggi-do","Gyeonggi-do,South Korea","","South Korea","kr"
"21326","Gangwon-do","Gangwon-do,South Korea","","South Korea","kr"
"21327","Chungcheongbuk-do","Chungcheongbuk-do,South Korea","","South Korea","kr"
"21328","Chungcheongnam-do","Chungcheongnam-do,South Korea","","South Korea","kr"
"21329","Jeonbuk State","Jeonbuk State,South Korea","","South Korea","kr"
"21330","Jeollanam-do","Jeollanam-do,South Korea","","South Korea","kr"
"21331","Gyeongsangbuk-do","Gyeongsangbuk-do,South Korea","","South Korea","kr"
"21332","Gyeongsangnam-do","Gyeongsangnam-do,South Korea","","South Korea","kr"
"21333","Jeju-do","Jeju-do,South Korea","","South Korea","kr"
"21346","Tuva Republic","Tuva Republic,Russia","","Russia","ru"
"21347","Chechnya","Chechnya,Russia","","Russia","ru"
"21348","Chuvashia Republic","Chuvashia Republic,Russia","","Russia","ru"
"21351","Nenets Autonomous Okrug","Nenets Autonomous Okrug,Russia","","Russia","ru"
"21353","Evenkiysky District","Evenkiysky District,Krasnoyarsk Krai,Russia","Krasnoyarsk Krai","Russia","ru"
"2136","Cayman Islands","Cayman Islands","","Cayman Islands","ky"
"21385","Altai Krai","Altai Krai,Russia","","Russia","ru"
